instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,season_name,weather_name,weekday_name,casual_ratio,log_casual,log_registered,log_cnt
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,331.0,654,985.0,Spring,Mist,Saturday,0.33604060913705586,5.805134968916488,6.484635235635252,6.893656354602635
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.696087,0.248539,131.0,670,801.0,Spring,Mist,Sunday,0.16354556803995007,4.882801922586371,6.508769136971682,6.687108607866515
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.437273,0.248309,120.0,1229,1349.0,Spring,Clear,Monday,0.08895478131949593,4.795790545596741,7.114769448366463,7.2078598714324755
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.590435,0.160296,108.0,1454,1562.0,Spring,Clear,Tuesday,0.06914212548015365,4.6913478822291435,7.282761179605593,7.354362330421477
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.436957,0.1869,82.0,1518,1600.0,Spring,Clear,Wednesday,0.05125,4.418840607796598,7.325807502595773,7.3783837129967145
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.518261,0.0895652,88.0,1518,1606.0,Spring,Clear,Thursday,0.0547945205479452,4.48863636973214,7.325807502595773,7.382124365737512
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.498696,0.168726,148.0,1362,1510.0,Spring,Mist,Friday,0.09801324503311258,5.003946305945459,7.217443431696533,7.32052696227274
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.535833,0.266804,68.0,891,959.0,Spring,Mist,Saturday,0.07090719499478623,4.23410650459726,6.79346613258001,6.866933284461882
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.434167,0.36195,54.0,768,822.0,Spring,Clear,Sunday,0.06569343065693431,4.007333185232471,6.645090969505644,6.71295620067707
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.482917,0.223267,41.0,1280,1321.0,Spring,Clear,Monday,0.031037093111279335,3.7376696182833684,7.155396301896734,7.186901020411631
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.686364,0.122132,43.0,1220,1263.0,Spring,Mist,Tuesday,0.034045922406967535,3.784189633918261,7.107425474110705,7.142036574706803
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.599545,0.304627,25.0,1137,1162.0,Spring,Clear,Wednesday,0.021514629948364887,3.258096538021482,7.037027614686276,7.0587581525186645
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.470417,0.301,38.0,1368,1406.0,Spring,Clear,Thursday,0.02702702702702703,3.6635616461296463,7.221835825288449,7.249215057114389
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.537826,0.126548,54.0,1367,1421.0,Spring,Clear,Friday,0.038001407459535536,4.007333185232471,7.221105098182496,7.259819610363186
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.49875,0.157963,222.0,1026,1248.0,Spring,Mist,Saturday,0.1778846153846154,5.407171771460119,6.934397209928558,7.130098510125578
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.48375,0.188433,251.0,953,1204.0,Spring,Clear,Sunday,0.2084717607973422,5.529429087511423,6.860663671448287,7.094234845924755
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.5375,0.194017,117.0,883,1000.0,Spring,Mist,Monday,0.117,4.770684624465665,6.784457062637643,6.90875477931522
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.861667,0.146775,9.0,674,683.0,Spring,Mist,Tuesday,0.013177159590043924,2.302585092994046,6.51471269087253,6.52795791762255
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.741739,0.208317,78.0,1572,1650.0,Spring,Mist,Wednesday,0.04727272727272727,4.3694478524670215,7.360739903058278,7.409136443920128
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.538333,0.195904,83.0,1844,1927.0,Spring,Mist,Thursday,0.043072132848988066,4.430816798843313,7.520234556474628,7.564238475170491
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.457083,0.353242,75.0,1468,1543.0,Spring,Clear,Friday,0.04860661049902787,4.330733340286331,7.292337176173877,7.342131730584722
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.4,0.17197,93.0,888,981.0,Spring,Clear,Saturday,0.09480122324159021,4.543294782270004,6.790097235513905,6.889591308354466
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.436522,0.2466,150.0,836,986.0,Spring,Clear,Sunday,0.15212981744421908,5.017279836814924,6.729824070489475,6.894670039433482
