instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,season_name,weather_name,weekday_name,time_of_day,casual_ratio,log_casual,log_registered,log_cnt
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.81,0.0,3,13,16,Spring,Clear,Saturday,Night/Early Morning,0.1875,1.3862943611198906,2.639057329615259,2.833213344056216
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.8,0.0,8,32,40,Spring,Clear,Saturday,Night/Early Morning,0.2,2.1972245773362196,3.4965075614664802,3.713572066704308
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.8,0.0,5,27,32,Spring,Clear,Saturday,Night/Early Morning,0.15625,1.791759469228055,3.332204510175204,3.4965075614664802
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.75,0.0,3,10,13,Spring,Clear,Saturday,Night/Early Morning,0.23076923076923078,1.3862943611198906,2.3978952727983707,2.639057329615259
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.75,0.0,0,1,1,Spring,Clear,Saturday,Night/Early Morning,0.0,0.0,0.6931471805599453,0.6931471805599453
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.75,0.0896,0,1,1,Spring,Mist,Saturday,Night/Early Morning,0.0,0.0,0.6931471805599453,0.6931471805599453
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.8,0.0,2,0,2,Spring,Clear,Saturday,Morning Peak,1.0,1.0986122886681096,0.0,1.0986122886681096
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.86,0.0,1,2,3,Spring,Clear,Saturday,Morning Peak,0.3333333333333333,0.6931471805599453,1.0986122886681096,1.3862943611198906
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.75,0.0,1,7,8,Spring,Clear,Saturday,Morning Peak,0.125,0.6931471805599453,2.0794415416798357,2.1972245773362196
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.76,0.0,8,6,14,Spring,Clear,Saturday,Morning Peak,0.5714285714285714,2.1972245773362196,1.9459101490553132,2.70805020110221
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.76,0.2537,12,24,36,Spring,Clear,Saturday,Midday,0.3333333333333333,2.5649493574615367,3.2188758248682006,3.6109179126442243
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.81,0.2836,26,30,56,Spring,Clear,Saturday,Midday,0.4642857142857143,3.295836866004329,3.4339872044851463,4.04305126783455
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.77,0.2836,29,55,84,Spring,Clear,Saturday,Midday,0.34523809523809523,3.4011973816621555,4.02535169073515,4.442651256490317
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.72,0.2985,47,47,94,Spring,Mist,Saturday,Midday,0.5,3.8712010109078907,3.8712010109078907,4.553876891600541
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.72,0.2836,35,71,106,Spring,Mist,Saturday,Midday,0.330188679245283,3.58351893845611,4.276666119016055,4.672828834461906
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.77,0.2985,40,70,110,Spring,Mist,Saturday,Midday,0.36363636363636365,3.713572066704308,4.2626798770413155,4.709530201312334
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.82,0.2985,41,52,93,Spring,Mist,Saturday,Evening Peak,0.44086021505376344,3.7376696182833684,3.970291913552122,4.543294782270004
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.82,0.2836,15,52,67,Spring,Mist,Saturday,Evening Peak,0.22388059701492538,2.772588722239781,3.970291913552122,4.219507705176107
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.88,0.2537,9,26,35,Spring,Light Snow/Rain,Saturday,Evening Peak,0.2571428571428571,2.302585092994046,3.295836866004329,3.58351893845611
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.88,0.2537,6,31,37,Spring,Light Snow/Rain,Saturday,Evening Peak,0.16216216216216217,1.9459101490553132,3.4657359027997265,3.6375861597263857
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.87,0.2537,11,25,36,Spring,Mist,Saturday,Night/Early Morning,0.3055555555555556,2.4849066497880004,3.258096538021482,3.6109179126442243
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.87,0.194,3,31,34,Spring,Mist,Saturday,Night/Early Morning,0.08823529411764706,1.3862943611198906,3.4657359027997265,3.5553480614894135
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.94,0.2239,11,17,28,Spring,Mist,Saturday,Night/Early Morning,0.39285714285714285,2.4849066497880004,2.8903717578961645,3.367295829986474
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.88,0.2985,15,24,39,Spring,Mist,Saturday,Night/Early Morning,0.38461538461538464,2.772588722239781,3.2188758248682006,3.6888794541139363
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.88,0.2985,4,13,17,Spring,Mist,Sunday,Night/Early Morning,0.23529411764705882,1.6094379124341003,2.639057329615259,2.8903717578961645
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.94,0.2537,1,16,17,Spring,Mist,Sunday,Night/Early Morning,0.058823529411764705,0.6931471805599453,2.833213344056216,2.8903717578961645
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,1.0,0.2836,1,8,9,Spring,Mist,Sunday,Night/Early Morning,0.1111111111111111,0.6931471805599453,2.1972245773362196,2.302585092994046
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.94,0.194,2,4,6,Spring,Mist,Sunday,Night/Early Morning,0.3333333333333333,1.0986122886681096,1.6094379124341003,1.9459101490553132
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.94,0.194,2,1,3,Spring,Mist,Sunday,Night/Early Morning,0.6666666666666666,1.0986122886681096,0.6931471805599453,1.3862943611198906
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.77,0.2985,0,2,2,Spring,Light Snow/Rain,Sunday,Morning Peak,0.0,0.0,1.0986122886681096,1.0986122886681096
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.76,0.194,0,1,1,Spring,Mist,Sunday,Morning Peak,0.0,0.0,0.6931471805599453,0.6931471805599453
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.71,0.2239,0,8,8,Spring,Light Snow/Rain,Sunday,Morning Peak,0.0,0.0,2.1972245773362196,2.1972245773362196
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.76,0.2239,1,19,20,Spring,Mist,Sunday,Morning Peak,0.05,0.6931471805599453,2.995732273553991,3.044522437723423
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.81,0.2239,7,46,53,Spring,Mist,Sunday,Midday,0.1320754716981132,2.0794415416798357,3.8501476017100584,3.9889840465642745
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.71,0.2537,16,54,70,Spring,Mist,Sunday,Midday,0.22857142857142856,2.833213344056216,4.007333185232471,4.2626798770413155
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.66,0.2985,20,73,93,Spring,Mist,Sunday,Midday,0.21505376344086022,3.044522437723423,4.304065093204169,4.543294782270004
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.66,0.1343,11,64,75,Spring,Mist,Sunday,Midday,0.14666666666666667,2.4849066497880004,4.174387269895637,4.330733340286331
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.76,0.194,4,55,59,Spring,Light Snow/Rain,Sunday,Midday,0.06779661016949153,1.6094379124341003,4.02535169073515,4.0943445622221
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.81,0.1642,19,55,74,Spring,Light Snow/Rain,Sunday,Midday,0.25675675675675674,2.995732273553991,4.02535169073515,4.31748811353631
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.71,0.1642,9,67,76,Spring,Light Snow/Rain,Sunday,Evening Peak,0.11842105263157894,2.302585092994046,4.219507705176107,4.343805421853684
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.57,0.194,7,58,65,Spring,Clear,Sunday,Evening Peak,0.1076923076923077,2.0794415416798357,4.07753744390572,4.189654742026425
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.46,0.3284,10,43,53,Spring,Mist,Sunday,Evening Peak,0.18867924528301888,2.3978952727983707,3.784189633918261,3.9889840465642745
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.42,0.4478,1,29,30,Spring,Clear,Sunday,Evening Peak,0.03333333333333333,0.6931471805599453,3.4011973816621555,3.4339872044851463
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.39,0.3582,5,17,22,Spring,Clear,Sunday,Night/Early Morning,0.22727272727272727,1.791759469228055,2.8903717578961645,3.1354942159291497
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.44,0.3284,11,20,31,Spring,Clear,Sunday,Night/Early Morning,0.3548387096774194,2.4849066497880004,3.044522437723423,3.4657359027997265
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.44,0.2985,0,9,9,Spring,Clear,Sunday,Night/Early Morning,0.0,0.0,2.302585092994046,2.302585092994046
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.47,0.1642,0,8,8,Spring,Clear,Sunday,Night/Early Morning,0.0,0.0,2.1972245773362196,2.1972245773362196
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.44,0.3582,0,5,5,Spring,Clear,Monday,Night/Early Morning,0.0,0.0,1.791759469228055,1.791759469228055
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.44,0.4179,0,2,2,Spring,Clear,Monday,Night/Early Morning,0.0,0.0,1.0986122886681096,1.0986122886681096
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.47,0.3881,0,1,1,Spring,Clear,Monday,Night/Early Morning,0.0,0.0,0.6931471805599453,0.6931471805599453
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.47,0.2836,0,3,3,Spring,Clear,Monday,Night/Early Morning,0.0,0.0,1.3862943611198906,1.3862943611198906
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.5,0.3881,0,30,30,Spring,Clear,Monday,Morning Peak,0.0,0.0,3.4339872044851463,3.4339872044851463
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.5,0.194,1,63,64,Spring,Clear,Monday,Morning Peak,0.015625,0.6931471805599453,4.1588830833596715,4.174387269895637
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.5,0.2836,1,153,154,Spring,Clear,Monday,Morning Peak,0.006493506493506494,0.6931471805599453,5.0369526024136295,5.043425116919247
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.43,0.3881,7,81,88,Spring,Clear,Monday,Morning Peak,0.07954545454545454,2.0794415416798357,4.406719247264253,4.48863636973214
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.43,0.2537,11,33,44,Spring,Clear,Monday,Midday,0.25,2.4849066497880004,3.5263605246161616,3.8066624897703196
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.4,0.3284,10,41,51,Spring,Clear,Monday,Midday,0.19607843137254902,2.3978952727983707,3.7376696182833684,3.9512437185814275
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.35,0.2985,13,48,61,Spring,Clear,Monday,Midday,0.21311475409836064,2.639057329615259,3.8918202981106265,4.127134385045092
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.35,0.2836,8,53,61,Spring,Clear,Monday,Midday,0.13114754098360656,2.1972245773362196,3.9889840465642745,4.127134385045092
